id,name,set_name,stored_id,row_lang,id_lang,id_product,id_console,current_value,price_source_url
en-mew-177,Machoke,Pokemon Card 151,8709219,EN,ZH,Arbok EX #177,Pokemon Chinese 151 Collect,1.19,
en-mew-181,Dragonair,Pokemon Card 151,8709223,EN,ZH,Golem EX #181,Pokemon Chinese 151 Collect,3.13,
en-mew-186,Ninetales ex,Pokemon Card 151,8743644,EN,ZH,Wigglytuff EX #186,Pokemon Chinese 151 Collect,3.25,
en-mew-194,Bill's Transfer,Pokemon Card 151,5326227,EN,JA,Zapdos EX #194,Pokemon Japanese Scarlet & Violet 151,5.74,
en-mew-199,Charizard ex,Pokemon Card 151,5400757,EN,JA,Bill's Transfer #199,Pokemon Japanese Scarlet & Violet 151,3.49,
en-mew-201,Alakazam ex,Pokemon Card 151,5326231,EN,JA,Charizard EX #201,Pokemon Japanese Scarlet & Violet 151,382.5,
en-mew-207,Basic Psychic Energy,Pokemon Card 151,5400760,EN,JA,Giovanni's Charisma #207,Pokemon Japanese Scarlet & Violet 151,23.74,
en-pr-86,Aegislash Prerelease,XY Black Star Promos,3473611,EN,JA,Genesect EX #86,Pokemon Japanese Best of XY,5.35,
en-pr-BW63,White Kyurem EX,Black and White Promos,10907337,EN,JA,White Kyurem EX #8,Pokemon Japanese White Kyurem EX Battle Strength Deck,3.78,
en-pr-BW68,Meloetta,Black and White Promos,12924917,EN,KO,Meloetta #162,Pokemon Korean Black Bolt,,
en-pr-BW98,Mew,Black and White Promos,9821856,EN,JA,Mew #5,Pokemon Japanese Rule of the Black Flame Build,4.69,
en-rs-11,Sceptile Holo,Ruby and Sapphire,3438787,EN,JA,Blaziken #11,Pokemon Japanese EX Ruby & Sapphire Expansion Pack,14.62,
en-rs-18,Nosepass,Ruby and Sapphire,3438794,EN,JA,Pelipper #18,Pokemon Japanese EX Ruby & Sapphire Expansion Pack,8.19,
en-rs-21,Seaking,Ruby and Sapphire,3438797,EN,JA,Wailmer #21,Pokemon Japanese EX Ruby & Sapphire Expansion Pack,2.47,
en-rs-29,Delcatty,Ruby and Sapphire,3438805,EN,JA,Gardevoir #29,Pokemon Japanese EX Ruby & Sapphire Expansion Pack,18.22,
en-rs-34,Kirlia,Ruby and Sapphire,3438810,EN,JA,Hariyama #34,Pokemon Japanese EX Ruby & Sapphire Expansion Pack,5.48,
en-rs-40,Marshtomp,Ruby and Sapphire,3438816,EN,JA,Swellow #40,Pokemon Japanese EX Ruby & Sapphire Expansion Pack,4.0,
en-rs-46,Swellow,Ruby and Sapphire,3438822,EN,JA,Sneasel ex #46,Pokemon Japanese EX Ruby & Sapphire Expansion Pack,24.03,
en-rs-51,Carvanha,Ruby and Sapphire,3438828,EN,JA,Aggron #51,Pokemon Japanese EX Ruby & Sapphire Expansion Pack,6.52,
en-rs-7,Gardevoir Holo,Ruby and Sapphire,3438783,EN,JA,Cascoon #7,Pokemon Japanese EX Ruby & Sapphire Expansion Pack,2.44,
en-rs-8,Hariyama Holo,Ruby and Sapphire,3438784,EN,JA,Dustox #8,Pokemon Japanese EX Ruby & Sapphire Expansion Pack,4.27,
en-rs-9,Manectric Holo,Ruby and Sapphire,3438785,EN,JA,Shroomish #9,Pokemon Japanese EX Ruby & Sapphire Expansion Pack,2.75,
en-SI-002,Pidgeot,Southern Islands,3473971,EN,JA,Pidgeot,Pokemon Japanese Southern Islands,20.04,https://www.pricecharting.com/game/pokemon-southern-islands/pidgeot-2
en-SI-007,Ledyba,Southern Islands,3473982,EN,JA,Ledyba,Pokemon Japanese Southern Islands,16.89,https://www.pricecharting.com/game/pokemon-southern-islands/ledyba-7
en-SI-012,Lapras,Southern Islands,3473980,EN,JA,Lapras,Pokemon Japanese Southern Islands,29.07,https://www.pricecharting.com/game/pokemon-southern-islands/lapras-12
en-SI-017,Vileplume,Southern Islands,3473974,EN,JA,Vileplume,Pokemon Japanese Southern Islands,16.55,https://www.pricecharting.com/game/pokemon-southern-islands/vileplume-17
en-sm01-13018,Fire Energy,Sun & Moon,3473810,EN,JA,Fire Energy,Pokemon Japanese Strength Expansion Pack Sun & Moon,,
en-SM06-074,Diancie Prism Star,Forbidden Light,3468392,EN,JA,Diancie Prism Star #51,Pokemon Japanese Forbidden Light,4.99,https://www.pricecharting.com/game/pokemon-forbidden-light/diancie-74
en-smp-38,Poncho wearing Pikachu Holofoil,Sun & Moon Black Star Promo,3473778,EN,JA,Absol #38,Pokemon Japanese Strength Expansion Pack Sun & Moon,5.0,
en-smp-SM03,Popplio,Sun & Moon Black Star Promo,3473754,EN,JA,Popplio #14,Pokemon Japanese Strength Expansion Pack Sun & Moon,5.0,
en-smp-SM105,Lycanroc,Sun & Moon Black Star Promo,5604521,EN,JA,Lycanroc #62,Pokemon Japanese Ruler of the Black Flame,1.85,
en-smp-SM154,Salandit,Sun & Moon Black Star Promo,3467986,EN,JA,Salandit #22,Pokemon Japanese Ultra Sun,0.25,
en-smp-SM235,Eevee,Sun & Moon Black Star Promo,3473781,EN,JA,Eevee #41,Pokemon Japanese Strength Expansion Pack Sun & Moon,4.25,
en-smp-SM27,Turtonator,Sun & Moon Black Star Promo,3467988,EN,JA,Turtonator #24,Pokemon Japanese Ultra Sun,1.97,
en-smp-SM54,Lucario,Sun & Moon Black Star Promo,3468082,EN,JA,Lucario #37,Pokemon Japanese Ultra Moon,3.99,
en-SVI-030,Growlithe,Scarlet & Violet Base,5326101,EN,JA,Growlithe #58,Pokemon Japanese Scarlet & Violet 151,1.81,
en-SVI-064,Magneton,Scarlet & Violet Base,5326125,EN,JA,Magneton #82,Pokemon Japanese Scarlet & Violet 151,1.99,
en-SVI-103,Espathra,Scarlet & Violet Base,5326146,EN,JA,Exeggutor #103,Pokemon Japanese Scarlet & Violet 151,1.59,
en-SVI-109,Annihilape,Scarlet & Violet Base,5326152,EN,JA,Koffing #109,Pokemon Japanese Scarlet & Violet 151,1.85,
en-SVI-113,Riolu,Scarlet & Violet Base,5326156,EN,JA,Chansey #113,Pokemon Japanese Scarlet & Violet 151,1.99,
en-SVI-117,Krookodile,Scarlet & Violet Base,5326160,EN,JA,Seadra #117,Pokemon Japanese Scarlet & Violet 151,1.51,
en-SVI-118,Hawlucha,Scarlet & Violet Base,5326161,EN,JA,Goldeen #118,Pokemon Japanese Scarlet & Violet 151,1.99,
en-SVI-119,Silicobra,Scarlet & Violet Base,5326162,EN,JA,Seaking #119,Pokemon Japanese Scarlet & Violet 151,1.69,
en-SVI-123,Great Tusk ex,Scarlet & Violet Base,5326166,EN,JA,Scyther #123,Pokemon Japanese Scarlet & Violet 151,2.1,
en-SVI-131,Toxicroak ex,Scarlet & Violet Base,5326174,EN,JA,Lapras #131,Pokemon Japanese Scarlet & Violet 151,1.99,
en-SVI-138,Bombirdier,Scarlet & Violet Base,5326181,EN,JA,Omanyte #138,Pokemon Japanese Scarlet & Violet 151,1.99,
en-SVI-144,Chansey,Scarlet & Violet Base,5326186,EN,JA,Articuno #144,Pokemon Japanese Scarlet & Violet 151,1.99,
en-SVI-150,Staraptor,Scarlet & Violet Base,5326192,EN,JA,Mewtwo #150,Pokemon Japanese Scarlet & Violet 151,2.25,
en-SVI-156,Lechonk,Scarlet & Violet Base,5326198,EN,JA,Old Amber #156,Pokemon Japanese Scarlet & Violet 151,1.47,
en-SVI-162,Squawkabilly,Scarlet & Violet Base,5326203,EN,JA,Giovanni's Charisma #162,Pokemon Japanese Scarlet & Violet 151,1.97,
en-SVI-169,Defiance Band,Scarlet & Violet Base,5326210,EN,JA,Charmeleon #169,Pokemon Japanese Scarlet & Violet 151,17.94,
en-SVI-176,Judge,Scarlet & Violet Base,5326217,EN,JA,Poliwhirl #176,Pokemon Japanese Scarlet & Violet 151,15.87,
en-SVI-182,Pal Pad,Scarlet & Violet Base,5400730,EN,JA,Dragonair #182,Pokemon Japanese Scarlet & Violet 151,13.48,
en-SVI-188,Potion,Scarlet & Violet Base,5400747,EN,JA,Ninetales EX #188,Pokemon Japanese Scarlet & Violet 151,6.0,
en-SVI-195,Team Star Grunt,Scarlet & Violet Base,5326228,EN,JA,Mew EX #195,Pokemon Japanese Scarlet & Violet 151,22.3,
en-SVI-202,Scovillain,Scarlet & Violet Base,5326232,EN,JA,Blastoise EX #202,Pokemon Japanese Scarlet & Violet 151,143.95,
en-SVI-203,Armarouge,Scarlet & Violet Base,5400758,EN,JA,Alakazam EX #203,Pokemon Japanese Scarlet & Violet 151,60.0,
en-SVI-205,Clauncher,Scarlet & Violet Base,5326234,EN,JA,Mew EX #205,Pokemon Japanese Scarlet & Violet 151,215.0,
en-SVP-024,Growlithe,Scarlet & Violet Promos,5326101,EN,JA,Growlithe #58,Pokemon Japanese Scarlet & Violet 151,1.81,
en-SVP-048,Squirtle,Scarlet & Violet Promos,5326211,EN,JA,Squirtle #170,Pokemon Japanese Scarlet & Violet 151,28.37,
en-SVP-052,Mewtwo,Scarlet & Violet Promos,5326192,EN,JA,Mewtwo #150,Pokemon Japanese Scarlet & Violet 151,2.25,
en-SVP-100,Grafaiai ex,Scarlet & Violet Promos,5326143,EN,JA,Voltorb #100,Pokemon Japanese Scarlet & Violet 151,1.99,
en-SVP-107,Mankey,Scarlet & Violet Promos,5326150,EN,JA,Hitmonchan #107,Pokemon Japanese Scarlet & Violet 151,1.55,
en-SVP-120,Pupitar,Scarlet & Violet Promos,5326163,EN,JA,Staryu #120,Pokemon Japanese Scarlet & Violet 151,1.75,
en-SVP-126,Hoothoot Cosmos Holo,Scarlet & Violet Promos,5326169,EN,JA,Magmar #126,Pokemon Japanese Scarlet & Violet 151,1.5,
en-SVP-131,Kingdra ex,Scarlet & Violet Promos,5326174,EN,JA,Lapras #131,Pokemon Japanese Scarlet & Violet 151,1.99,
en-svp-138,Porygon2 Cosmos Holo,Scarlet & Violet Promos,5326181,EN,JA,Omanyte #138,Pokemon Japanese Scarlet & Violet 151,1.99,
en-SVP-144,Gouging Fire ex,Scarlet & Violet Promos,5326186,EN,JA,Articuno #144,Pokemon Japanese Scarlet & Violet 151,1.99,
en-SVP-151,Gouging Fire,Scarlet & Violet Promos,5326193,EN,JA,Mew EX #151,Pokemon Japanese Scarlet & Violet 151,2.99,
en-SVP-159,Magneton,Scarlet & Violet Promos,5326200,EN,JA,Extra-tight Band #159,Pokemon Japanese Scarlet & Violet 151,1.74,
en-SVP-165,Terapagos ex,Scarlet & Violet Promos,5326206,EN,JA,Cycling Road #165,Pokemon Japanese Scarlet & Violet 151,1.91,
en-SVP-171,Glaceon,Scarlet & Violet Promos,5326212,EN,JA,Wartortle #171,Pokemon Japanese Scarlet & Violet 151,17.0,https://www.pricecharting.com/game/pokemon-promo/glaceon-171
en-SVP-177,Bloodmoon Ursaluna ex,Scarlet & Violet Promos,5326218,EN,JA,Machoke #177,Pokemon Japanese Scarlet & Violet 151,6.4,https://www.pricecharting.com/game/pokemon-promo/bloodmoon-ursaluna-ex-177
en-SVP-184,Hop's Snorlax Prerelease,Scarlet & Violet Promos,5400739,EN,JA,Venusaur ex #184,Pokemon Japanese Scarlet & Violet 151,7.68,https://www.pricecharting.com/game/pokemon-promo/hops-snorlax-184
en-SVP-191,Sprigatito,Scarlet & Violet Promos,5400753,EN,JA,Golem EX #191,Pokemon Japanese Scarlet & Violet 151,4.57,
en-SVP-196,Charizard ex,Scarlet & Violet Promos,5326229,EN,JA,Erika's Invitation #196,Pokemon Japanese Scarlet & Violet 151,10.0,https://www.pricecharting.com/game/pokemon-promo/charizard-ex-196
en-SVP-202,Kangaskhan Cosmos Holo,Scarlet & Violet Promos,5326232,EN,JA,Blastoise EX #202,Pokemon Japanese Scarlet & Violet 151,143.95,https://www.pricecharting.com/game/pokemon-promo/kangaskhan-202
en-SVP-206,Marnie’s Morpeko,Scarlet & Violet Promos,5400759,EN,JA,Erika's Invitation #206,Pokemon Japanese Scarlet & Violet 151,50.0,https://www.pricecharting.com/game/pokemon-promo/marnies-morpeko-206
en-SVP-210,Tornadus,Scarlet & Violet Promos,5400762,EN,JA,Psychic Energy #210,Pokemon Japanese Scarlet & Violet 151,12.34,
en-swsd-SWSH178,Professor's Research,Sword & Shield Promo,12834095,EN,JA,Professor's Research #9,Pokemon Japanese Sword & Shield Premium Trainer Box,,
en-SWSH02-009,Ludicolo,Rebel Clash,3471616,EN,JA,Ludicolo #5,Pokemon Japanese Rebel Clash,1.95,https://www.pricecharting.com/game/pokemon-rebel-clash/ludicolo-9
en-SWSH02-015,Trevenant,Rebel Clash,3471620,EN,JA,Trevenant #9,Pokemon Japanese Rebel Clash,1.73,https://www.pricecharting.com/game/pokemon-rebel-clash/trevenant-15
en-SWSH02-021,Applin,Rebel Clash,3471622,EN,JA,Applin #11,Pokemon Japanese Rebel Clash,1.45,https://www.pricecharting.com/game/pokemon-rebel-clash/applin-21
en-SWSH02-033,Chandelure,Rebel Clash,3471629,EN,JA,Chandelure #18,Pokemon Japanese Rebel Clash,1.34,https://www.pricecharting.com/game/pokemon-rebel-clash/chandelure-33
en-SWSH02-043,Milotic V,Rebel Clash,3471633,EN,JA,Milotic V #22,Pokemon Japanese Rebel Clash,3.34,https://www.pricecharting.com/game/pokemon-rebel-clash/milotic-v-43
en-SWSH02-054,Eiscue,Rebel Clash,3471639,EN,JA,Eiscue #28,Pokemon Japanese Rebel Clash,1.9,https://www.pricecharting.com/game/pokemon-rebel-clash/eiscue-54
en-SWSH02-060,Shinx,Rebel Clash,3471644,EN,JA,Shinx #33,Pokemon Japanese Rebel Clash,0.5,https://www.pricecharting.com/game/pokemon-rebel-clash/shinx-60
en-SWSH02-074,Clefairy,Rebel Clash,3471650,EN,JA,Clefairy #39,Pokemon Japanese Rebel Clash,2.25,https://www.pricecharting.com/game/pokemon-rebel-clash/clefairy-74
en-SWSH02-081,Sandygast,Rebel Clash,3471653,EN,JA,Sandygast #42,Pokemon Japanese Rebel Clash,1.35,https://www.pricecharting.com/game/pokemon-rebel-clash/sandygast-81
en-SWSH02-085,Hatterene,Rebel Clash,3471657,EN,JA,Hatterene #46,Pokemon Japanese Rebel Clash,2.34,https://www.pricecharting.com/game/pokemon-rebel-clash/hatterene-85
en-SWSH02-092,Dragapult V,Rebel Clash,3471712,EN,JA,Dragapult V #101,Pokemon Japanese Rebel Clash,7.0,https://www.pricecharting.com/game/pokemon-rebel-clash/dragapult-v-92
en-SWSH02-099,Barboach,Rebel Clash,3471665,EN,JA,Barboach #54,Pokemon Japanese Rebel Clash,3.5,https://www.pricecharting.com/game/pokemon-rebel-clash/barboach-99
en-SWSH02-105,Rolycoly,Rebel Clash,3471716,EN,JA,Oleana #105,Pokemon Japanese Rebel Clash,14.99,https://www.pricecharting.com/game/pokemon-rebel-clash/rolycoly-105
en-SWSH02-111,Stonjourner,Rebel Clash,3471722,EN,JA,Oleana #111,Pokemon Japanese Rebel Clash,10.94,https://www.pricecharting.com/game/pokemon-rebel-clash/stonjourner-111
en-tr-12,Dark Slowbro Holo,Team Rocket 1st Edition,9090500,EN,JA,Arboliva ex #12,Pokemon Japanese Glory of Team Rocket,1.75,https://www.pricecharting.com/game/pokemon-team-rocket/dark-slowbro-12
en-tr-18,Dark Alakazam,Team Rocket 1st Edition,9090506,EN,JA,Torchic #18,Pokemon Japanese Glory of Team Rocket,1.2,https://www.pricecharting.com/game/pokemon-team-rocket/dark-alakazam-18
en-tr-22,Dark Dragonite,Team Rocket 1st Edition,9090510,EN,JA,Team Rocket's Articuno #22,Pokemon Japanese Glory of Team Rocket,1.72,https://www.pricecharting.com/game/pokemon-team-rocket/dark-dragonite-22
en-tr-3,Dark Blastoise Holo,Team Rocket 1st Edition,9088484,EN,JA,Breloom #3,Pokemon Japanese Glory of Team Rocket,1.48,https://www.pricecharting.com/game/pokemon-team-rocket/dark-blastoise-3
en-tr-43,Dark Primeape,Team Rocket 1st Edition,9088524,EN,JA,Team Rocket's Dottler #43,Pokemon Japanese Glory of Team Rocket,1.2,https://www.pricecharting.com/game/pokemon-team-rocket/dark-primeape-1st-edition-43
en-tr-5,Dark Dragonite Holo,Team Rocket 1st Edition,9088486,EN,JA,Fomantis #5,Pokemon Japanese Glory of Team Rocket,1.28,https://www.pricecharting.com/game/pokemon-team-rocket/dark-dragonite-holo-5
en-tr-57,Grimer,Team Rocket 1st Edition,9090541,EN,JA,Team Rocket's Arbok #57,Pokemon Japanese Glory of Team Rocket,1.5,https://www.pricecharting.com/game/pokemon-team-rocket/grimer-1st-edition-57
en-tr-61,Mankey,Team Rocket 1st Edition,9090552,EN,JA,Team Rocket's Nidoran #61,Pokemon Japanese Glory of Team Rocket,1.07,https://www.pricecharting.com/game/pokemon-team-rocket/mankey-1st-edition-61
en-tr-68,Squirtle,Team Rocket 1st Edition,9090565,EN,JA,Team Rocket's Muk #68,Pokemon Japanese Glory of Team Rocket,1.6,https://www.pricecharting.com/game/pokemon-team-rocket/squirtle-1st-edition-68
en-tr-73,The Boss's Way,Team Rocket 1st Edition,9088562,EN,JA,Forretress #73,Pokemon Japanese Glory of Team Rocket,1.5,
en-tr-8,Dark Gyarados Holo,Team Rocket 1st Edition,9088489,EN,JA,Team Rocket's Tarountula #8,Pokemon Japanese Glory of Team Rocket,1.12,https://www.pricecharting.com/game/pokemon-team-rocket/dark-gyarados-8
en-tr-9,Dark Hypno Holo,Team Rocket 1st Edition,9088490,EN,JA,Team Rocket's Spidops #9,Pokemon Japanese Glory of Team Rocket,1.99,https://www.pricecharting.com/game/pokemon-team-rocket/dark-hypno-9
en-WHT-002,Swadloon,White Flare,9647343,EN,JA,Swadloon #2,Pokemon Japanese White Flare,1.5,https://www.pricecharting.com/game/pokemon-white-flare/swadloon-2
en-WHT-008,Shelmet,White Flare,9647349,EN,JA,Shelmet #8,Pokemon Japanese White Flare,1.5,https://www.pricecharting.com/game/pokemon-white-flare/shelmet-8
en-WHT-013,Emboar,White Flare,9647354,EN,JA,Emboar #13,Pokemon Japanese White Flare,1.33,https://www.pricecharting.com/game/pokemon-white-flare/emboar-13
en-WHT-020,Reshiram ex,White Flare,9690044,EN,JA,Reshiram Ex #160,Pokemon Japanese White Flare,4.38,https://www.pricecharting.com/game/pokemon-white-flare/reshiram-ex-20
en-WHT-026,Swanna,White Flare,9683090,EN,JA,Swanna #107,Pokemon Japanese White Flare,6.25,https://www.pricecharting.com/game/pokemon-white-flare/swanna-26
en-WHT-032,Zebstrika,White Flare,9683095,EN,JA,Zebstrika #112,Pokemon Japanese White Flare,5.42,https://www.pricecharting.com/game/pokemon-white-flare/zebstrika-32
en-WHT-038,Sigilyph,White Flare,9683104,EN,JA,Sigilyph #118,Pokemon Japanese White Flare,4.85,https://www.pricecharting.com/game/pokemon-white-flare/sigilyph-38
en-WHT-044,Frillish,White Flare,9683112,EN,JA,Frillish #124,Pokemon Japanese White Flare,8.0,https://www.pricecharting.com/game/pokemon-white-flare/frillish-44
