id,name,set_name,card_number,proposed_id,matched_product,matched_console
mtg-btd-82,Swamp (82),Beatdown Box Set,82,4835722,Swamp,Magic Beatdown Box Set
mtg-btd-85,Mountain (85),Beatdown Box Set,85,4835723,Mountain,Magic Beatdown Box Set
mtg-c16-21 // 9,"Emblem - Daretti, Scrap Savant // Thopter Double-Sided Token",Commander 2016,21 // 9,2206757,"Daretti, Scrap Savant",Magic Commander 2016
mtg-c19-15 // 16,Centaur // Egg Double-Sided Token,Commander 2019,15 // 16,13022197,Centaur // Egg [Double-Sided Token] #15,Magic Commander 2019
mtg-c19-18 // 16,Rhino // Egg Double-sided Token,Commander 2019,18 // 16,13022230,Rhino // Egg [Double-Sided Token] #18,Magic Commander 2019
mtg-c19-19 // 27,Saproling // Morph Double-Sided Token,Commander 2019,19 // 27,13022234,Saproling // Morph [Double-Sided Token] #19,Magic Commander 2019
mtg-c19-25 // 3,Treasure // Human Double-Sided Token,Commander 2019,25 // 3,13022239,Treasure // Human [Double-Sided Token] #25,Magic Commander 2019
mtg-c19-5 // 3,Spirit // Human Double-Sided Token,Commander 2019,5 // 3,13022235,Spirit // Human [Double-Sided Token] #5,Magic Commander 2019
mtg-c19-9 // 27,Assassin // Morph Double-Sided Token,Commander 2019,9 // 27,13022189,Assassin // Morph [Double-Sided Token] #9,Magic Commander 2019
mtg-ctd-12b,Reinforcements (Version 2),Coldsnap Theme Deck Reprints,12b,5386804,Reinforcements,Magic Coldsnap Theme Decks
mtg-dkm-6b,Lim-Dul's High Guard (6b),Deckmasters Garfield vs Finkel,6b,4891430,Lim-Dul's High Guard,Magic Deckmasters Box Set
mtg-ecc-1 // 5,Copy // Plant Double-Sided Token,Commander: Lorwyn Eclipsed,1 // 5,11786968,Copy // Plant [Double-Sided Token] #1,Magic Lorwyn Eclipsed Commander
mtg-ecc-7 // 11,Saproling // Scarecrow Double-Sided Token,Commander: Lorwyn Eclipsed,7 // 11,11786973,Saproling // Scarecrow [Double-Sided Token] #7,Magic Lorwyn Eclipsed Commander
mtg-ecl-2 // 11,Elk // Mutavault Double-Sided Token,Lorwyn Eclipsed,2 // 11,11786775,Elk // Mutavault [Double-Sided Token] #2,Magic Lorwyn Eclipsed
mtg-ecl-5 // 6,Faerie // Goblin Double-Sided Token,Lorwyn Eclipsed,5 // 6,12229007,Faerie // Goblin [Double-Sided Token Foil] #5/6,Magic Lorwyn Eclipsed
mtg-eld-386,Castle Ardenvale (Extended Art),Throne of Eldraine,386,2198689,Castle Ardenvale [Extended Art],Magic Throne of Eldraine
mtg-hml-77,Aliban's Tower [Version 2],Homelands,77,2203256,Aliban's Tower,Magic Homelands
mtg-iko-335,General Kudro of Drannith (Extended Art),Ikoria: Lair of Behemoths,335,2196658,General Kudro of Drannith [Extended Art],Magic Ikoria Lair of Behemoths
mtg-jss-2,Elvish Champion (Junior APAC Series) Foil,Junior Series Promos,2,4614446,Elvish Champion,Magic Junior Super Series
mtg-khc-18 // 8,Replicated Ring // Thopter Double-Sided Token,Commander: Kaldheim,18 // 8,5553511,Replicated Ring // Thopter,Magic Kaldheim Commander
mtg-khc-2 // 3,Kithkin Soldier // Pegasus Double-Sided Token,Commander: Kaldheim,2 // 3,5553509,Kithkin Soldier // Pegasus,Magic Kaldheim Commander
mtg-lcc-1 // 10,Copy // Dinosaur Double-Sided Token,Commander: The Lost Caverns of Ixalan,1 // 10,11408614,Copy // Dinosaur [Double-Sided Token] #1,Magic Lost Caverns of Ixalan
mtg-lcc-18 // 10,The Monarch // Dinosaur Double-Sided Token,Commander: The Lost Caverns of Ixalan,18 // 10,11408615,The Monarch // Dinosaur [Double-Sided Token] #18,Magic Lost Caverns of Ixalan
mtg-list-003/008,Brainstorm (SS1),The List Reprints,003/008,8759233,Brainstorm [SS1] #3,Magic The List Reprints
mtg-list-004/216,By Gnome Means Foil,The List Reprints,004/216,8760056,By Gnome Means [Foil] #4,Magic The List Reprints
mtg-list-005/096,Frankie Peanuts Foil,The List Reprints,005/096,8760069,Frankie Peanuts [Foil] #5,Magic The List Reprints
mtg-list-009/024,Doomed Traveler (2X2),The List Reprints,009/024,8760427,Doomed Traveler [2X2] #9,Magic The List Reprints
mtg-list-011/216,Jackknight Foil,The List Reprints,011/216,8760084,Jackknight [Foil] #11,Magic The List Reprints
mtg-list-015/096,"Syr Cadian, Knight Owl Foil",The List Reprints,015/096,8760092,"Syr Cadian, Knight Owl [Foil] #15",Magic The List Reprints
mtg-list-016/096,Alexander Clamilton Foil,The List Reprints,016/096,8760047,Alexander Clamilton [Foil] #16,Magic The List Reprints
mtg-list-017/096,Avatar of Me Foil,The List Reprints,017/096,8760051,Avatar of Me [Foil] #17,Magic The List Reprints
mtg-list-018/096,B.O.B. (Bevy of Beebles) Foil,The List Reprints,018/096,8760054,B.O.B. [Bevy of Beebles Foil] #18,Magic The List Reprints
mtg-list-029/216,Clocknapper Foil,The List Reprints,029/216,8760060,Clocknapper [Foil] #29,Magic The List Reprints
mtg-list-030/254,Omen of the Sun,The List Reprints,030/254,8760971,Omen,Magic The List Reprints
mtg-list-039/096,Infernal Spawn of Infernal Spawn of Evil Foil,The List Reprints,039/096,8760080,Infernal Spawn of Infernal Spawn of Evil [Foil] #39,Magic The List Reprints
mtg-list-043,Sea Gate Oracle (KHC),The List Reprints,043,8759888,Sea Gate Oracle [KHC] #43,Magic The List Reprints
mtg-list-046/047,Jungle Shrine (E02),The List Reprints,046/047,8760742,Jungle Shrine [E02] #46,Magic The List Reprints
mtg-list-050/076,Maverick Thopterist (DDU),The List Reprints,050/076,8760717,Maverick Thopterist [DDU] #50,Magic The List Reprints
mtg-list-054/096,Infinity Elemental Foil,The List Reprints,054/096,8760082,Infinity Elemental [Foil] #54,Magic The List Reprints
mtg-list-054/351,Crystalline Crawler (C16),The List Reprints,054/351,8760485,Crystalline Crawler [C16] #54,Magic The List Reprints
mtg-list-068/096,"Pippa, Duchess of Dice Foil",The List Reprints,068/096,8760098,"Pippa, Duchess of Dice [Foil] #68",Magic The List Reprints
mtg-list-069/216,"Spike, Tournament Grinder Foil",The List Reprints,069/216,8760105,"Spike, Tournament Grinder [Foil] #69",Magic The List Reprints
mtg-list-080/216,The Countdown Is at One Foil,The List Reprints,080/216,8760086,The Countdown Is at One [Foil] #80,Magic The List Reprints
mtg-list-084/096,Sword of Dungeons & Dragons Foil,The List Reprints,084/096,8760095,Sword of Dungeons & Dragons [Foil] #84,Magic The List Reprints
mtg-list-090/269,Foulmire Knight (ELD),The List Reprints,090/269,8760613,Foulmire Knight [ELD] #90,Magic The List Reprints
mtg-list-092/302,Reality Shift (C19),The List Reprints,092/302,8759186,Reality Shift [C19] #92,Magic The List Reprints
mtg-list-093/254,Demonic Tutor (UMA),The List Reprints,093/254,8759608,Demonic Tutor [UMA] #93,Magic The List Reprints
mtg-list-095/038,Reality Shift (NEC),The List Reprints,095/038,8760996,Reality Shift [NEC] #95,Magic The List Reprints
mtg-list-096/337,Whitemane Lion (C14),The List Reprints,096/337,8760545,Whitemane Lion [C14] #96,Magic The List Reprints
mtg-list-099/216,Three-Headed Goblin Foil,The List Reprints,099/216,8760079,Three-Headed Goblin [Foil] #99,Magic The List Reprints
mtg-list-10/155,Leonin Relic-Warder (MBS),The List Reprints,10/155,8760718,Leonin Relic-Warder [MBS] #10,Magic The List Reprints
mtg-list-106/342,Sleep (C15),The List Reprints,106/342,8759607,Sleep [C15] #106,Magic The List Reprints
mtg-list-108/216,Earl of Squirrel Foil,The List Reprints,108/216,8760062,Earl of Squirrel [Foil] #108,Magic The List Reprints
mtg-list-109/249,Sorin Markov (M12),The List Reprints,109/249,8759730,Sorin Markov [M12] #109,Magic The List Reprints
mtg-list-112/216,Hydradoodle Foil,The List Reprints,112/216,8760075,Hydradoodle [Foil] #112,Magic The List Reprints
mtg-list-119/121,Gemstone Mine (TSB),The List Reprints,119/121,8759338,Gemstone Mine [TSB] #119,Magic The List Reprints
mtg-list-128/216,Better Than One Foil,The List Reprints,128/216,8760053,Better Than One [Foil] #128,Magic The List Reprints
mtg-list-129/216,Cramped Bunker Foil,The List Reprints,129/216,8760058,Cramped Bunker [Foil] #129,Magic The List Reprints
mtg-list-130/216,Dr. Julius Jumblemorph Foil,The List Reprints,130/216,8760061,Dr. Julius Jumblemorph [Foil] #130,Magic The List Reprints
mtg-list-132/145,Bojuka Bog (WWK),The List Reprints,132/145,8759231,Bojuka Bog [WWK] #132,Magic The List Reprints
mtg-list-133/216,Hot Fix Foil,The List Reprints,133/216,8760072,Hot Fix [Foil] #133,Magic The List Reprints
mtg-list-134/216,Ol' Buzzbark Foil,The List Reprints,134/216,8760094,Ol' Buzzbark [Foil] #134,Magic The List Reprints
mtg-list-135/216,"Phoebe, Head of S.N.E.A.K. Foil",The List Reprints,135/216,8760096,"Phoebe, Head of S.N.E.A.K. [Foil] #135",Magic The List Reprints
mtg-list-137/143,Edgewalker,The List Reprints,137/143,8758102,Silhana Ledgewalker #77,Magic The List Reprints
mtg-list-139/216,Angelic Rocket Foil,The List Reprints,139/216,8760048,Angelic Rocket [Foil] #139,Magic The List Reprints
mtg-list-141/249,Lightning Bolt (A25),The List Reprints,141/249,8759525,Lightning Bolt [A25] #141,Magic The List Reprints
mtg-list-147/216,Everythingamajig (A) Foil,The List Reprints,147/216,8760063,Everythingamajig [A Foil] #147,Magic The List Reprints
mtg-list-150/216,Kindslaver Foil,The List Reprints,150/216,8760085,Kindslaver [Foil] #150,Magic The List Reprints
mtg-list-157/180,Jhoira of the Ghitu (FUT),The List Reprints,157/180,8760012,Jhoira of the Ghitu [FUT] #157,Magic The List Reprints
mtg-list-162/254,Devoted Druid (UMA),The List Reprints,162/254,8759848,Devoted Druid [UMA] #162,Magic The List Reprints
mtg-list-170/038,Command Tower (MIC),The List Reprints,170/038,8760730,Command Tower [MIC] #170,Magic The List Reprints
mtg-list-175/306,"Kiki-Jiki, Mirror Breaker (CHK)",The List Reprints,175/306,8759818,"Kiki-Jiki, Mirror Breaker [CHK] #175",Magic The List Reprints
mtg-list-234/249,Swiftfoot Boots (A25),The List Reprints,234/249,8759304,Swiftfoot Boots [A25] #234,Magic The List Reprints
mtg-list-258/254,"Daxos, Blessed by the Sun (Showcase)",The List Reprints,258/254,8759439,"Daxos, Blessed by the Sun [Showcase] #258",Magic The List Reprints
mtg-list-260/318,Skullclamp (CMD),The List Reprints,260/318,8759175,Skullclamp [CMD] #260,Magic The List Reprints
mtg-list-272/350,Krosan Tusker (ONS),The List Reprints,272/350,8760716,Krosan Tusker [ONS] #272,Magic The List Reprints
mtg-list-285/274,Pouncing Shoreshark (Showcase),The List Reprints,285/274,8759241,Pouncing Shoreshark [Showcase] #285,Magic The List Reprints
mtg-list-290/093,Farseek (NCC),The List Reprints,290/093,8760734,Farseek [NCC] #290,Magic The List Reprints
mtg-list-295/269,Beanstalk Giant (Showcase),The List Reprints,295/269,8759431,Beanstalk Giant [Showcase] #295,Magic The List Reprints
mtg-list-296/269,Curious Pair (Showcase),The List Reprints,296/269,8759269,Curious Pair [Showcase] #296,Magic The List Reprints
mtg-list-298/274,Liliana's Devotee (Showcase),The List Reprints,298/274,8759454,Liliana's Devotee [Showcase] #298,Magic The List Reprints
mtg-list-302/281,Cloister Gargoyle (Showcase),The List Reprints,302/281,8759620,Cloister Gargoyle [Showcase] #302,Magic The List Reprints
mtg-list-325/281,Dire Wolf Prowler (Showcase),The List Reprints,325/281,8759617,Dire Wolf Prowler [Showcase] #325,Magic The List Reprints
mtg-list-329/303,Late to Dinner (Showcase),The List Reprints,329/303,8759732,Late to Dinner [Showcase] #329,Magic The List Reprints
mtg-list-343/281,Krydle of Baldur's Gate (Showcase),The List Reprints,343/281,8759864,Krydle of Baldur's Gate [Showcase] #343,Magic The List Reprints
mtg-list-359/361,Sea Gate,The List Reprints,359/361,8759888,Sea Gate Oracle [KHC] #43,Magic The List Reprints
mtg-list-51/301,Amoeboid Changeling (LRW),The List Reprints,51/301,8759205,Amoeboid Changeling [LRW] #51,Magic The List Reprints
mtg-list-61/264,Laboratory Maniac (ISD),The List Reprints,61/264,8760256,Laboratory Maniac [ISD] #61,Magic The List Reprints
mtg-list-7-Jun,Disenchant (P07),The List Reprints,7-Jun,8759279,Disenchant [P07] #6,Magic The List Reprints
mtg-list-7-Mar,Mortify (P07),The List Reprints,7-Mar,8759678,Mortify [P07],Magic The List Reprints
mtg-list-7-May,Harmonize (P08),The List Reprints,7-May,8759370,Harmonize [P08] #5,Magic The List Reprints
mtg-list-72/350,Curiosity (8ED),The List Reprints,72/350,8760852,Curiosity [8ED] #72,Magic The List Reprints
mtg-list-86/165,Eternal Witness (5DN),The List Reprints,86/165,8759306,Eternal Witness [5DN] #86,Magic The List Reprints
mtg-m21-286,Basri Ket (Showcase),Core Set 2021,286,2192945,Basri Ket [Showcase],Magic Core Set 2021
mtg-m21-351,Pursued Whale (Extended Art),Core Set 2021,351,2193358,Pursued Whale [Extended Art],Magic Core Set 2021
mtg-m21-358,"Kaervek, the Spiteful (Extended Art)",Core Set 2021,358,2193225,"Kaervek, the Spiteful [Extended Art]",Magic Core Set 2021
mtg-m21-370,Transmogrify (Extended Art),Core Set 2021,370,2193592,Transmogrify [Extended Art],Magic Core Set 2021
mtg-m21-374,Feline Sovereign (Extended Art),Core Set 2021,374,2193099,Feline Sovereign [Extended Art],Magic Core Set 2021
mtg-m21-378,Sporeweb Weaver (Extended Art),Core Set 2021,378,2193488,Sporeweb Weaver [Extended Art],Magic Core Set 2021
mtg-m21-379,"Niambi, Esteemed Speaker (Extended Art)",Core Set 2021,379,2193312,"Niambi, Esteemed Speaker [Extended Art]",Magic Core Set 2021
mtg-m21-384,Sparkhunter Masticore (Extended Art),Core Set 2021,384,2193474,Sparkhunter Masticore [Extended Art],Magic Core Set 2021
mtg-m21-385,Animal Sanctuary (Extended Art),Core Set 2021,385,2192917,Animal Sanctuary [Extended Art],Magic Core Set 2021
mtg-m21-391,Temple of Triumph (Extended Art),Core Set 2021,391,2193558,Temple of Triumph [Extended Art],Magic Core Set 2021
mtg-med-GR1,"Elspeth, Knight-Errant Foil",Mythic Edition: Guilds of Ravnica,GR1,682,"Elspeth, Knight-Errant",Magic Mythic Edition
mtg-med-GR5,"Ral, Izzet Viceroy Foil",Mythic Edition: Guilds of Ravnica,GR5,144,"Ral, Izzet Viceroy",Magic Guilds of Ravnica
mtg-med2-RA1,"Karn, Scion of Urza Foil",Mythic Edition: Ravnica Allegiance,RA1,685,"Karn, Scion of Urza",Magic Mythic Edition
mtg-med2-RA4,Jaya Ballard Foil,Mythic Edition: Ravnica Allegiance,RA4,694,Jaya Ballard,Magic Mythic Edition
mtg-med2-RA6,Dack Fayden Foil,Mythic Edition: Ravnica Allegiance,RA6,681,Dack Fayden,Magic Mythic Edition
mtg-med2-RA8,"Kaya, Orzhov Usurper Foil",Mythic Edition: Ravnica Allegiance,RA8,2201661,"Kaya, Orzhov Usurper [Foil] #186",Magic Ravnica Allegiance
mtg-med3-WS2,Gideon Blackblade Foil,Mythic Edition: War of the Spark,WS2,2201158,Gideon Blackblade [Foil],Magic War of the Spark
mtg-med3-WS4,Tezzeret the Seeker Foil,Mythic Edition: War of the Spark,WS4,683,Tezzeret the Seeker,Magic Mythic Edition
mtg-med3-WS6,"Nicol Bolas, Dragon-God Foil",Mythic Edition: War of the Spark,WS6,680,"Nicol Bolas, Dragon-God",Magic Mythic Edition
mtg-ncc-36 // 13,Thopter // Treasure (013) Double-Sided Token,Commander: Streets of New Capenna,36 // 13,5553866,Thopter // Treasure,Magic Adventures in the Forgotten Realms Commander
mtg-otc-27 // 18,Thopter // Treasure Double-Sided Token,Commander: Outlaws of Thunder Junction,27 // 18,5553866,Thopter // Treasure,Magic Adventures in the Forgotten Realms Commander
mtg-p02-154,Island (154),Portal Second Age,154,4442350,Island,Magic Portal Second Age
mtg-sld-0729,Braid of Fire (729) Foil,Secret Lair Drop Series,0729,5641466,Braid of Fire #729,Magic Secret Lair Drop
mtg-spg-102,Chrome Mox (Borderless) (First-Place Foil),Special Guests,102,8881927,Chrome Mox [Borderless First Place Foil] #92,Magic Special Guests
mtg-sum-299,Swamp (B),Summer Magic,299,4957209,Swamp,Magic Summer Edition
mtg-tdc-28 // 2,Inkling // Bird  Double-Sided Token,Commander: Tarkir: Dragonstorm,28 // 2,13019330,Inkling // Bird [Double Sided Token] #28,Magic Tarkir: Dragonstorm Commander
mtg-tmt-6 // 1,Rat // Copy Double-Sided Token,Teenage Mutant Ninja Turtles,6 // 1,12325846,Rat // Copy [Double-Sided Token] #6,Magic Teenage Mutant Ninja Turtles
mtg-ugl-86,Swamp (UGL),Unglued,86,7712,Swamp,Magic Unglued
mtg-uma:bt-U03,"Kozilek, Butcher of Truth Foil",Ultimate Masters: Box Toppers,U03,2202000,"Kozilek, Butcher of Truth",Magic Ultimate Box Topper
mtg-uma:bt-U21,Gaddock Teeg Foil,Ultimate Masters: Box Toppers,U21,2202333,Gaddock Teeg [Foil],Magic Ultimate Masters
mtg-unf-208,Dart Throw (2-3-4-6),Unfinity,208,5058987,Dart Throw,Magic Unfinity
mtg-unf-212,Fortune Teller (2-3-6),Unfinity,212,5058991,Fortune Teller,Magic Unfinity
mtg-unf-216,Hall of Mirrors (2-6),Unfinity,216,5058995,Hall of Mirrors,Magic Unfinity
mtg-unf-219,Kiddie Coaster (2-3-6),Unfinity,219,5058998,Kiddie Coaster,Magic Unfinity
mtg-unf-220,Log Flume (3-6),Unfinity,220,5058999,Log Flume,Magic Unfinity
mtg-unf-226,Scavenger Hunt (2-3-6),Unfinity,226,5059005,Scavenger Hunt,Magic Unfinity
mtg-unf-227,Spinny Ride (2-3-6),Unfinity,227,5059006,Spinny Ride,Magic Unfinity
mtg-unf-228,Squirrel Stack (2-3-6),Unfinity,228,5059007,Squirrel Stack,Magic Unfinity
mtg-unf-231,Swinging Ship (2-6),Unfinity,231,5059011,Swinging Ship,Magic Unfinity
mtg-unf-246,"Solaflora, Intergalactic Icon (Showcase)",Unfinity,246,5058805,"Solaflora, Intergalactic Icon",Magic Unfinity
mtg-unf-247,Fluros of Myra's Marvels (Showcase),Unfinity,247,5058824,Fluros of Myra's Marvels,Magic Unfinity
mtg-unf-248,Nocturno of Myra's Marvels (Showcase),Unfinity,248,5058860,Nocturno of Myra's Marvels,Magic Unfinity
mtg-unf-249,Devil K. Nevil (Showcase),Unfinity,249,5058882,Devil K. Nevil,Magic Unfinity
mtg-unf-251,"Vorthos, Steward of Myth (Showcase)",Unfinity,251,5058904,"Vorthos, Steward of Myth",Magic Unfinity
mtg-unf-254,Ambassador Blorpityblorpboop (Showcase),Unfinity,254,5058939,Ambassador Blorpityblorpboop,Magic Unfinity
mtg-unf-259,"Dee Kay, Finder of the Lost (Showcase)",Unfinity,259,5058945,"Dee Kay, Finder of the Lost",Magic Unfinity
mtg-unf-262,"Lila, Hospitality Hostess (Showcase)",Unfinity,262,5058948,"Lila, Hospitality Hostess",Magic Unfinity
mtg-unf-263,Magar of the Magic Strings (Showcase),Unfinity,263,5058949,Magar of the Magic Strings,Magic Unfinity
mtg-unf-264,"Meet and Greet ""Sisay"" (Showcase)",Unfinity,264,5058950,Meet and Greet Sisay,Magic Unfinity
mtg-unf-268,"Pietra, Crafter of Clowns (Showcase)",Unfinity,268,5058954,"Pietra, Crafter of Clowns",Magic Unfinity
mtg-unf-273,Tusk and Whiskers (Showcase),Unfinity,273,5058960,Tusk and Whiskers,Magic Unfinity
mtg-unf-288,Aerialephant (Galaxy Foil),Unfinity,288,5059033,Aerialephant [Galaxy Foil],Magic Unfinity
mtg-unf-291,_____ Bird Gets the Worm (Galaxy Foil),Unfinity,291,5059036,_____ Bird Gets the Worm [Galaxy Foil],Magic Unfinity
mtg-unf-295,Form of the Approach of the Second Sun (Galaxy Foil),Unfinity,295,5059040,Form of the Approach of the Second Sun [Galaxy Foil],Magic Unfinity
mtg-unf-299,Hat Trick (Galaxy Foil),Unfinity,299,5059043,Hat Trick [Galaxy Foil],Magic Unfinity
mtg-unf-301,Jetpack Janitor (Galaxy Foil),Unfinity,301,5059045,Jetpack Janitor [Galaxy Foil],Magic Unfinity
mtg-unf-305,Main Event Horizon (Galaxy Foil),Unfinity,305,5059049,Main Event Horizon [Galaxy Foil],Magic Unfinity
mtg-unf-309,Pin Collection (Galaxy Foil),Unfinity,309,5059053,Pin Collection [Galaxy Foil],Magic Unfinity
mtg-unf-318,Trapeze Artist (Galaxy Foil),Unfinity,318,5059062,Trapeze Artist [Galaxy Foil],Magic Unfinity
mtg-unf-319,Animate Object (Galaxy Foil),Unfinity,319,5059063,Animate Object [Galaxy Foil],Magic Unfinity
mtg-unf-322,Bag Check (Galaxy Foil),Unfinity,322,5059066,Bag Check [Galaxy Foil],Magic Unfinity
mtg-unf-327,Busted! (Galaxy Foil),Unfinity,327,5059071,Busted! [Galaxy Foil],Magic Unfinity
mtg-unf-332,Fluros of Myra's Marvels (Galaxy Foil),Unfinity,332,5059076,Fluros of Myra's Marvels [Galaxy Foil],Magic Unfinity
mtg-unf-337,Mobile Clone (Galaxy Foil),Unfinity,337,5059081,Mobile Clone [Galaxy Foil],Magic Unfinity
mtg-unf-342,Plate Spinning (Galaxy Foil),Unfinity,342,5059085,Plate Spinning [Galaxy Foil],Magic Unfinity
mtg-unf-345,Super-Duper Lost (Galaxy Foil),Unfinity,345,5059089,Super-Duper Lost [Galaxy Foil],Magic Unfinity
mtg-unf-350,Wizards of the _______ (Galaxy Foil),Unfinity,350,5059094,Wizards of the _____ [Galaxy Foil],Magic Unfinity
mtg-unf-354,Carnival Carnivore (Galaxy Foil),Unfinity,354,5059098,Carnival Carnivore [Galaxy Foil],Magic Unfinity
mtg-unf-357,Disemvowel (Galaxy Foil),Unfinity,357,5059101,Disemvowel [Galaxy Foil],Magic Unfinity
mtg-unf-359,Down for Repairs (Galaxy Foil),Unfinity,359,5059103,Down for Repairs [Galaxy Foil],Magic Unfinity
mtg-unf-362,Haberthrasher (Galaxy Foil),Unfinity,362,5059106,Haberthrasher [Galaxy Foil],Magic Unfinity
mtg-unf-364,Last Voyage of the _______ (Galaxy Foil),Unfinity,364,5059108,Last Voyage of the _____ [Galaxy Foil],Magic Unfinity
mtg-unf-368,Nocturno of Myra's Marvels (Galaxy Foil),Unfinity,368,5059112,Nocturno of Myra's Marvels [Galaxy Foil],Magic Unfinity
mtg-unf-370,Questionable Cuisine (Galaxy Foil),Unfinity,370,5059114,Questionable Cuisine [Galaxy Foil],Magic Unfinity
mtg-unf-371,Quick Fixer (Galaxy Foil),Unfinity,371,5059115,Quick Fixer [Galaxy Foil],Magic Unfinity
mtg-unf-372,Rat in the Hat (Galaxy Foil),Unfinity,372,5059116,Rat in the Hat [Galaxy Foil],Magic Unfinity
mtg-unf-373,A Real Handful (Galaxy Foil),Unfinity,373,5059117,A Real Handful [Galaxy Foil],Magic Unfinity
mtg-unf-375,Scampire (Galaxy Foil),Unfinity,375,5059119,Scampire [Galaxy Foil],Magic Unfinity
mtg-unf-380,Step Right Up (Galaxy Foil),Unfinity,380,5059124,Step Right Up [Galaxy Foil],Magic Unfinity
mtg-unf-383,Aardwolf's Advantage (Galaxy Foil),Unfinity,383,5059127,Aardwolf's Advantage [Galaxy Foil],Magic Unfinity
